region,species,population,reef_health,biodiversity_index
Indian Ocean,Tuna,11557,67.09,9.73
Indian Ocean,Whale,58966,51.47,2.47
Indian Ocean,Coral,8098,56.66,9.33
Indian Ocean,Turtle,41889,79.16,2.13
Indian Ocean,Plankton,60486,59.28,5.86
Pacific Ocean,Tuna,90611,85.04,5.49
Pacific Ocean,Whale,93919,77.61,1.09
Pacific Ocean,Coral,59233,77.89,6.83
Pacific Ocean,Turtle,69603,91.02,2.32
Pacific Ocean,Plankton,19995,91.02,1.21
Atlantic Ocean,Tuna,16772,73.9,8.42
Atlantic Ocean,Whale,64636,54.69,2.34
Atlantic Ocean,Coral,22152,69.85,1.96
Atlantic Ocean,Turtle,65209,44.76,9.64
Atlantic Ocean,Plankton,19041,81.68,8.3
Arctic Ocean,Tuna,22648,57.37,6.17
Arctic Ocean,Whale,89384,84.9,7.6
Arctic Ocean,Coral,3017,54.24,1.52
Arctic Ocean,Turtle,2198,64.9,2.25
Arctic Ocean,Plankton,31561,64.99,6.99
Southeast Asia,Tuna,17246,74.29,2.79
Southeast Asia,Whale,10443,64.35,7.28
Southeast Asia,Coral,1481,61.41,4.69
Southeast Asia,Turtle,52617,73.07,2.41
Southeast Asia,Plankton,37703,84.47,1.07
Amazon Basin,Tuna,18971,48.31,8.89
Amazon Basin,Whale,96061,68.27,2.47
Amazon Basin,Coral,76520,68.67,8.04
Amazon Basin,Turtle,2870,67.06,1.62
Amazon Basin,Plankton,65057,72.52,7.94
