date,region,temperature,salinity,current_speed,sea_level
2020-01-01,Indian Ocean,17.65,34.21,1.92,0.026
2020-01-02,Indian Ocean,18.6,35.2,2.19,-0.21
2020-01-03,Indian Ocean,22.29,35.03,1.79,-0.1
2020-01-04,Indian Ocean,20.78,35.71,2.16,-0.234
2020-01-05,Indian Ocean,21.11,35.93,1.35,-0.128
2020-01-06,Indian Ocean,23.42,35.02,2.21,0.012
2020-01-07,Indian Ocean,20.08,33.87,0.59,-0.09
2020-01-08,Indian Ocean,22.66,35.14,1.3,0.023
2020-01-09,Indian Ocean,19.68,35.33,1.89,0.048
2020-01-10,Indian Ocean,22.98,34.81,1.03,0.143
2020-01-11,Indian Ocean,22.04,34.93,0.59,0.005
2020-01-12,Indian Ocean,22.03,35.11,0.35,0.062
2020-01-13,Indian Ocean,23.19,34.67,0.98,-0.107
2020-01-14,Indian Ocean,21.89,35.74,1.33,0.178
2020-01-15,Indian Ocean,20.5,35.58,0.41,-0.022
2020-01-16,Indian Ocean,19.42,34.77,0.64,0.15
2020-01-17,Indian Ocean,25.16,34.39,2.48,-0.025
2020-01-18,Indian Ocean,25.92,35.31,1.03,0.03
2020-01-19,Indian Ocean,21.71,35.5,1.52,-0.091
2020-01-20,Indian Ocean,22.26,34.85,0.54,-0.031
2020-01-21,Indian Ocean,18.87,34.08,0.95,0.137
2020-01-22,Indian Ocean,21.7,35.21,1.88,-0.018
2020-01-23,Indian Ocean,21.48,34.22,1.42,-0.203
2020-01-24,Indian Ocean,23.13,34.28,1.24,-0.007
2020-01-25,Indian Ocean,21.71,35.77,0.32,0.051
2020-01-26,Indian Ocean,24.13,34.96,1.99,0.027
2020-01-27,Indian Ocean,25.34,35.82,1.36,-0.104
2020-01-28,Indian Ocean,20.9,34.34,0.47,0.166
2020-01-29,Indian Ocean,21.4,35.33,0.25,0.013
2020-01-30,Indian Ocean,22.78,35.62,1.67,0.282
2020-01-31,Indian Ocean,20.6,34.35,0.81,-0.156
2020-02-01,Indian Ocean,22.3,34.64,0.44,0.07
2020-02-02,Indian Ocean,24.4,36.1,0.49,-0.117
2020-02-03,Indian Ocean,24.02,35.9,0.53,-0.053
2020-02-04,Indian Ocean,21.49,34.7,0.95,0.142
2020-02-05,Indian Ocean,22.2,35.65,1.73,0.127
2020-02-06,Indian Ocean,23.3,34.85,2.24,0.072
2020-02-07,Indian Ocean,21.7,35.1,1.09,-0.089
2020-02-08,Indian Ocean,24.34,35.01,1.04,0.024
2020-02-09,Indian Ocean,22.8,35.52,0.81,-0.056
2020-02-10,Indian Ocean,22.67,35.49,0.94,0.08
2020-02-11,Indian Ocean,24.49,35.81,1.21,0.164
2020-02-12,Indian Ocean,19.9,35.81,0.69,0.129
2020-02-13,Indian Ocean,22.64,35.66,0.47,0.034
2020-02-14,Indian Ocean,21.24,34.37,2.03,0.046
2020-02-15,Indian Ocean,23.19,35.87,1.9,-0.021
2020-02-16,Indian Ocean,25.53,34.87,0.32,-0.062
2020-02-17,Indian Ocean,22.7,34.24,1.02,-0.102
2020-02-18,Indian Ocean,21.68,34.59,1.66,-0.081
2020-02-19,Indian Ocean,21.69,33.83,1.67,0.137
2020-02-20,Indian Ocean,21.09,34.63,1.85,0.033
2020-02-21,Indian Ocean,20.94,34.45,0.74,0.066
2020-02-22,Indian Ocean,21.54,34.59,2.16,-0.011
2020-02-23,Indian Ocean,23.23,34.24,1.03,0.072
2020-02-24,Indian Ocean,25.98,35.51,2.48,-0.083
2020-02-25,Indian Ocean,19.75,34.29,2.2,-0.084
2020-02-26,Indian Ocean,22.0,34.24,0.19,0.035
2020-02-27,Indian Ocean,20.91,34.63,0.88,0.035
2020-02-28,Indian Ocean,24.07,34.58,0.2,0.148
2020-02-29,Indian Ocean,19.92,34.15,0.7,0.065
2020-03-01,Indian Ocean,24.1,35.38,0.5,-0.074
2020-03-02,Indian Ocean,22.12,34.93,1.39,-0.211
2020-03-03,Indian Ocean,22.75,34.63,0.31,-0.074
2020-03-04,Indian Ocean,24.59,34.32,0.57,-0.084
2020-03-05,Indian Ocean,21.54,34.9,2.3,-0.098
