date,region,temperature,salinity,biodiversity_index
2020-01-01,Indian Ocean,20.46,34.91,8.24
2020-01-02,Indian Ocean,21.09,34.46,7.61
2020-01-03,Indian Ocean,19.54,36.11,7.61
2020-01-04,Indian Ocean,18.33,35.43,9.12
2020-01-05,Indian Ocean,22.68,34.28,6.11
2020-01-06,Indian Ocean,26.31,33.74,5.47
2020-01-07,Indian Ocean,20.47,35.04,8.29
2020-01-08,Indian Ocean,19.5,35.04,8.01
2020-01-09,Indian Ocean,19.81,34.72,8.38
2020-01-10,Indian Ocean,24.41,35.99,6.74
2020-01-11,Indian Ocean,21.34,35.41,8.17
2020-01-12,Indian Ocean,23.98,35.1,5.88
2020-01-13,Indian Ocean,22.76,34.72,6.04
2020-01-14,Indian Ocean,22.13,34.84,6.67
2020-01-15,Indian Ocean,18.36,35.28,9.3
2020-01-16,Indian Ocean,19.96,35.37,7.22
2020-01-17,Indian Ocean,25.99,34.03,5.61
2020-01-18,Indian Ocean,26.29,34.73,5.36
2020-01-19,Indian Ocean,18.83,34.81,7.98
2020-01-20,Indian Ocean,23.4,35.53,5.48
2020-01-21,Indian Ocean,21.35,35.73,7.22
2020-01-22,Indian Ocean,21.86,34.81,7.06
2020-01-23,Indian Ocean,23.79,34.5,6.8
2020-01-24,Indian Ocean,22.75,34.66,6.04
2020-01-25,Indian Ocean,21.5,35.63,7.46
2020-01-26,Indian Ocean,23.59,34.24,6.47
2020-01-27,Indian Ocean,23.97,35.39,6.14
2020-01-28,Indian Ocean,21.65,35.31,8.33
2020-01-29,Indian Ocean,22.26,34.67,6.5
2020-01-30,Indian Ocean,20.4,35.21,8.87
2020-01-31,Indian Ocean,18.62,34.95,8.18
2020-02-01,Indian Ocean,19.21,34.26,7.97
2020-02-02,Indian Ocean,22.58,34.72,6.13
2020-02-03,Indian Ocean,21.62,35.44,7.26
2020-02-04,Indian Ocean,25.38,34.81,5.43
2020-02-05,Indian Ocean,24.84,34.21,5.34
2020-02-06,Indian Ocean,24.62,35.52,5.82
2020-02-07,Indian Ocean,24.14,35.53,5.86
2020-02-08,Indian Ocean,23.97,34.86,6.06
2020-02-09,Indian Ocean,21.83,35.21,7.19
2020-02-10,Indian Ocean,23.08,35.43,6.15
2020-02-11,Indian Ocean,24.31,35.07,5.24
2020-02-12,Indian Ocean,20.63,34.54,7.12
2020-02-13,Indian Ocean,23.05,35.07,5.94
2020-02-14,Indian Ocean,24.12,35.23,6.56
2020-02-15,Indian Ocean,20.13,34.12,7.97
2020-02-16,Indian Ocean,21.29,35.39,7.86
2020-02-17,Indian Ocean,20.82,34.95,7.97
2020-02-18,Indian Ocean,23.02,34.83,6.95
2020-02-19,Indian Ocean,24.95,34.9,5.67
2020-02-20,Indian Ocean,23.65,35.15,5.21
2020-02-21,Indian Ocean,21.31,35.97,8.22
2020-02-22,Indian Ocean,26.18,34.29,4.35
